HCPCS_Cd,HCPCS_Desc,Tot_Srvcs
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",9231599.0
99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",5285485.8
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",4759333.5
A0425,"Ground mileage, per statute mile",4747200.9
J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",4558573.0
J2403,"Chloroprocaine hcl ophthalmic, 3% gel, 1 mg",4527850.0
J1010,"Injection, methylprednisolone acetate, 1 mg",3948234.5
99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",3509571.8
97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",3302068.0
J2777,"Injection, faricimab-svoa, 0.1 mg",2878798.0
J0897,"Injection, denosumab, 1 mg",2800910.0
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,2724638.0
A9575,"Injection, gadoterate meglumine, 0.1 ml",2638710.0
97530,Therapy procedure using functional activities,2283718.0
J0585,"Injection, onabotulinumtoxina, 1 unit",2230097.0
J1439,"Injection, ferric carboxymaltose, 1 mg",1994357.0
J3111,"Injection, romosozumab-aqqg, 1 mg",1850777.0
97112,"Therapy procedure to re-educate brain-to-nerve-to-muscle function, each 15 minutes",1745240.0
99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",1688303.0
J9271,"Injection, pembrolizumab, 1 mg",1673353.0
